article_number;title;authors;journal;year;url;abstract;theory_type;type_mod
23011465;Developing and Validating an Observational Learning Model of Computer Software Training and Skill Acquisition;Mun Y. Yi and Fred D. Davis;ISR;2003;https://www.jstor.org/stable/23011465;Computer skills are key to organizational performance, and past research indicates that behavior modeling is a highly effective form of computer skill training. The present research develops and tests a new theoretical model of the underlying observational learning processes by which modeling-based training interventions influence computer task performance. Observational learning processes are represented as a second-order construct with four dimensions (attention, retention, production, and motivation). New measures for these dimensions were developed and shown to have strong psychometric properties. The proposed model controls for two pretraining individual differences (motivation to learn and self-efficacy) and specifies the relationships among three training outcomes (declarative knowledge, post-training self-efficacy, and task performance). The model was tested using PLS on data from an experiment (N = 95) on computer spreadsheet training. As hypothesized, observational learning processes significantly influenced training outcomes. A representative modeling-based training intervention (retention enhancement) significantly improved task performance through its specific effects on the retention processes dimension of observational learning. The new model provides a more complete theoretical account of the mechanisms by which modeling-based interventions affect training outcomes, which should enable future research to systematically evaluate the effectiveness of a wide range of modeling-based training interventions. Further, the new instruments can be used by practitioners to refine ongoing training programs.;EP;Explanation and Prediction
23011466;The Impact of Experience and Time on the Use of Data Quality Information in Decision Making;Craig W. Fisher, InduShobha Chengalur-Smith and Donald P. Ballou;ISR;2003;https://www.jstor.org/stable/23011466;Data Quality Information (DQI) is metadata that can be included with data to provide the user with information regarding the quality of that data. As users are increasingly removed from any personal experience with data, knowledge that would be beneficial in judging the appropriateness of the data for the decision to be made has been lost. Data tags could provide this missing information. However, it would be expensive in general to generate and maintain such information. Doing so would be worthwhile only if DQI is used and affects the decision made. This work focuses on how the experience of the decision maker and the available processing time influence the use of DQI in decision making. It also explores other potential issues regarding use of DQI, such as task complexity and demographic characteristics. Our results indicate increasing use of DQI when experience levels progress through the stages from novice to professional. The overall conclusion is that DQI should be made available to managers without domain-specific experience. From this it would follow that DQI should be incorporated into data warehouses used on an ad hoc basis by managers.;EP;Explanation and Prediction
23011467;A Partial Least Squares Latent Variable Modeling Approach for Measuring Interaction Effects: Results from a Monte Carlo Simulation Study and an Electronic-Mail Emotion/Adoption Study;Wynne W. Chin, Barbara L. Marcolin and Peter R. Newsted;ISR;2003;https://www.jstor.org/stable/23011467;The ability to detect and accurately estimate the strength of interaction effects are critical issues that are fundamental to social science research in general and IS research in particular. Within the IS discipline, a significant percentage of research has been devoted to examining the conditions and contexts under which relationships may vary, often under the general umbrella of contingency theory (cf. McKeen et al. 1994, Weill and Olson 1989). In our survey of such studies, the majority failed to either detect or provide an estimate of the effect size. In cases where effect sizes are estimated, the numbers are generally small. These results have led some researchers to question both the usefulness of contingency theory and the need to detect interaction effects (e.g., Weill and Olson 1989). This paper addresses this issue by providing a new latent variable modeling approach that can give more accurate estimates of interaction effects by accounting for the measurement error that attenuates the estimated relationships. The capacity of this approach at recovering true effects in comparison to summated regression is demonstrated in a Monte Carlo study that creates a simulated data set in which the underlying true effects are known. Analysis of a second, empirical data set is included to demonstrate the technique's use within IS theory In this second analysis, substantial direct and interaction effects of enjoyment on electronic-mail adoption are shown to exist.;Design;Design
23015711;Generalizing Generalizability in Information Systems Research;Allen S. Lee and Richard L. Baskerville;ISR;2003;https://www.jstor.org/stable/23015711;Generalizability is a major concern to those who do, and use, research. Statistical, sampling-based generalizability is well known, but methodologists have long been aware of conceptions of generalizability beyond the statistical. The purpose of this essay is to clarify the concept of generalizability by critically examining its nature, illustrating its use and misuse, and presenting a framework for classifying its different forms. The framework organizes the different forms into four types, which are defined by the distinction between empirical and theoretical kinds of statements. On the one hand, the framework affirms the bounds within which statistical, sampling-based generalizability is legitimate. On the other hand, the framework indicates ways in which researchers in information systems and other fields may properly lay claim to generalizability, and thereby broader relevance, even when their inquiry falls outside the bounds of sampling-based research.;Analysis;Analysis
23015712;Replicating Online Yankee Auctions to Analyze Auctioneers' and Bidders' Strategies;Ravi Bapna, Paulo Goes and Alok Gupta;ISR;2003;https://www.jstor.org/stable/23015712;We present a simulation approach that provides a relatively risk-free and cost-effective environment to examine the decision space for both bid takers and bid makers in web-based dynamic price setting processes. The applicability of the simulation platform is demonstrated for Yankee auctions in particular. We focus on the optimization of bid takers' revenue, as well as on examining the welfare implications of a range of consumer-bidding strategies—some observed, some hypothetical. While these progressive open discriminatory multiunit auctions with discrete bid increments are made feasible by Internet technologies, little is known about their structural characteristics, or their allocative efficiency. The multiunit and discrete nature of these mechanisms renders the traditional analytic framework of gametheory intractable (Nautz and Wolfstetter 1997). The simulation is based on theoretical revenue generating properties of these auctions. We use empirical data from real online auctions to instantiate the simulation's parameters. For example, the bidding strategies of the bidders are specified based on three broad bidding strategies observed in real online auctions. The validity of the simulation model is established and subsequently the simulation model is configured to change the values of key control factors, such as the bid increment. Our analysis indicates that the auctioneers are, most of the time, far away from the optimal choice of bid increment, resulting in substantial losses in a market with already tight margins. The simulation tool provides a test bed for jointly exploring the combinatorial space of design choices made by the auctioneer's and the bidding strategies adopted by the bidders. For instance, a multinomial logit model reveals that endogenous factors, such as the bid increment and the absolute magnitude of the auction have a statistically significant impact on consumer-bidding strategies. This endogeniety is subsequently modeled into the simulation to investigate whether the effects are significant enough to alter the optimal bid increments or auctioneer revenues. Additionally, we investigate hybrid-bidding strategies, derived as a combination of three broad strategies, such as jump bidding and strategic-at-margin (SAM) bidding. We find that hybrid strategies have the potential of significantly altering bidders' likelihood of winning, as well as their surplus.;Prediction;Prediction
23015713;Improving Analysis Pattern Reuse in Conceptual Design: Augmenting Automated Processes with Supervised Learning;Sandeep Purao, Veda C. Storey and Taedong Han;ISR;2003;https://www.jstor.org/stable/23015713;Conceptual design is an important, but difficult, phase of systems development. Analysis patterns can greatly benefit this phase because they capture abstractions of situations that occur frequently in conceptual modeling. Naive approaches to automate conceptual design with reuse of analysis patterns have had limited success because they do not emulate the learning that occurs over time. This research develops learning mechanisms for improving analysis pattern reuse in conceptual design. The learning mechanisms employ supervised learning techniques to support the generic reuse tasks of retrieval, adaptation, and integration, and emulate expert behaviors of analogy making and designing by assembly. They are added to a naive approach and the augmented methodology implemented as an intelligent assistant to a designer for generating an initial conceptual design that a developer may refine. To assess the potential of the methodology to benefit practice, empirical testing is carried out on multiple domains and tasks of different sizes. The results suggest that the methodology has the potential to benefit practice.;Design;Design
23015714;Portfolios of Control in Outsourced Software Development Projects;Vivek Choudhury and Rajiv Sabherwal;ISR;2003;https://www.jstor.org/stable/23015714;"This paper examines the evolution of portfolio of controls over the duration of outsourced information systems development (ISD) projects. Drawing on five cases, it concludes that many findings from research on control of internal ISD projects apply to the outsourced context as well, but with some interesting differences. The portfolios of control in outsourced projects are dominated by outcome controls, especially at the start of the project; although the precision and frequency of these controls varies across projects. Behavior controls are often added later in the project, as are controls aimed to encourage and enable vendor selfcontrol. Clan controls were used in only two of the cases—when the client and vendor had shared goals, and when frequent interactions led to shared values. In general, the outsourced projects we studied began with relatively simple controls but often required significant additional controls after experiencing performance problems. Factors influencing the choice and evolution of controls are also examined.";Explanation;Explanation
23015677;The Influence of Business Managers' IT Competence on Championing IT;Geneviève Bassellier, Izak Benbasat and Blaize Horner Reich;ISR;2003;https://www.jstor.org/stable/23015677;"With the increased importance of IT in organizations, business managers are now expected to show stronger leadership in regard to its deployment of IT in organizations. This requires greater focus on their capability to understand and use IT resources effectively. This paper explores the concept of IT competence of business managers as a contributor to their intention to champion IT within their organizations. Based on the knowledge literature, IT competence is defined as ""the set of IT-related knowledge and experience that a business manager possesses."" The relationship between IT knowledge, IT experience, and championing IT is tested empirically using Structural Equation Modeling with LISREL. Four hundred and four business managers from two large insurance organizations were surveyed. Specific areas of IT knowledge and IT experience were first identified and the first half of the data set was utilized to assess the measurement properties of the instrument in a confirmatory analysis. The contribution of IT knowledge and IT experience to their intention to champion IT was assessed using the second half of the data set. The results show that IT knowledge and IT experience together explain 34% of the variance in managers' intentions to champion IT. Recommendations are given as to how organizations can enhance their business managers IT knowledge and experience to achieve stronger IT leadership from line people.";EP;Explanation and Prediction
23015678;Synthesis and Decomposition of Processes in Organizations;Amit Basu and Robert W. Blanning;ISR;2003;https://www.jstor.org/stable/23015678;Organizations today face increasing pressures to integrate their processes across disparate divisions and functional units, in order to remove inefficiencies as well as to enhance manageability. Process integration involves two major types of changes to process structure: (1) synthesizing processes from separate but interdependent subprocesses, and (2) decomposing aggregate processes into distinct subprocesses that are more manageable. We present an approach to facilitate this type of synthesis and decomposition through formal analysis of process structure using a mathematical structure called a metagraph.;Design;Design
23015679;A Research Note Regarding the Development of the Consensus on Appropriation Scale;Christopher D. Allport and William A. Kerler III;ISR;2003;https://www.jstor.org/stable/23015679;Measurement is perhaps the most difficult aspect of behavioral research. In a recent edition of ISR, a scale for consensus on appropriation was developed. Consensus on appropriation is one of three global constructs incorporated in adaptive structuration theory (Poole and DeSanctis 1990). The principal components analysis on the initial questionnaire revealed two factors with eigenvalues greater than one. While the methods used to develop the scale were thorough, the weaker factor was excluded from the rest of the analysis with little justification. We suggest that this finding has two possible explanations, multidimensionality or response bias. This research note suggests that in addition to the convergent and discriminant validity that Salisbury et al. (2002) provided for the consensus on appropriation scale, we may have an opportunity to further refine the measurement of this construct. By further exploring this principal component finding, consensus on appropriation may be better understood and measured.;Analysis;Analysis
23015896;A Fault Threshold Policy to Manage Software Development Projects;I. Robert Chiang and Vijay S. Mookerjee;ISR;2004;https://www.jstor.org/stable/23015896;"This paper presents a project management policy in which the appearance of software faults during system construction is used to determine the timing of system integration activities (e.g., team meetings, analyzing modules for interface inconsistencies, system fault correction, and so on). System integration is performed only if a threshold fault count has been exceeded; otherwise, module development is allowed to continue. We derive an expression for calculating fault thresholds and analyze the policy to reveal the presence of three operating regions: (1) a region in which development should continue with no system integration, (2) a region in which system integration occurs if a threshold fault count has been exceeded, and (3) a region in which system integration should always take place. Analytical and numerical results demonstrate how the fault thresholds change with system complexity, team skill, development environment, and project schedule. We also show how learning that occurs during each round of system integration leads to less frequent integration in the future, and lower total construction effort. Simulation experiments reveal that the fault threshold policy can be applied even if several homogeneity assumptions in the model are relaxed, allowing for differences in the propensity among modules to accumulate faults and the effort needed to correct these faults. Finally, the fault threshold policy outperforms a fixed-release policy in which system integration occurs whenever a fixed number of modules has been released.";Design;Design
23015897;Economics of an Information Intermediary with Aggregation Benefits;Hemant K. Bhargava and Vidyanand Choudhary;ISR;2004;https://www.jstor.org/stable/23015897;The widespread use of the Internet has led to the emergence of numerous information intermediaries that bring buyers and sellers together and leverage their knowledge of the marketplace to provide value-added services. Infomediaries offer matching services that facilitate establishment of a buyer-seller agreement, and value-added services that either provide a standalone benefit or enhance benefits from matching services. This paper develops and analyzes economic models of intermediaries to examine their pricing and product line design strategies. Intermediaries provide aggregation benefits: Buyers find an intermediary's service more valuable if it provides access to more sellers, and sellers value it more if it provides access to more buyers, but also when they compete with fewer sellers. Due to this unique combination of network effects, we find that an intermediary has stronger incentives to provide quality-differentiated versions of its service relative to other information goods sellers. When buyers have constant marginal valuations for service quality, the intermediary should offer only two levels of service. While it is optimal for the intermediary to offer two levels of service, increasing the quality of the low-level service reduces the intermediary's profits due to increased cannibalization of the premium service. Hence, the optimal menu consists of a basic matching service and a premium service that includes matching and value-added services. The intermediary's profits are larger when positive network effects are stronger, and lower when negative network effects are stronger.;Design;Design
23015898;Building Effective Online Marketplaces with Institution-Based Trust;Paul A. Pavlou and David Gefen;ISR;2004;https://www.jstor.org/stable/23015898;"Institution-based trust is a buyer's perception that effective third-party institutional mechanisms are in place to facilitate transaction success. This paper integrates sociological and economic theories about institutionbased trust to propose that the perceived effectiveness of three IT-enabled institutional mechanisms—specifically feedback mechanisms, third-party escrow services, and credit card guarantees—engender buyer trust in the community of online auction sellers. Trust in the marketplace intermediary that provides the overarching institutional context also builds buyer's trust in the community of sellers. In addition, buyers' trust in the community of sellers (as a group) facilitates online transactions by reducing perceived risk. Data collected from 274 buyers in Amazon's online auction marketplace provide support for the proposed structural model. Longitudinal data collected a year later show that transaction intentions are correlated with actual and self-reported buyer behavior. The study shows that the perceived effectiveness of institutional mechanisms encompasses both ""weak"" (market-driven) and ""strong"" (legally binding) mechanisms. These mechanisms engender trust, not only in a few reputable sellers, but also in the entire community of sellers, which contributes to an effective online marketplace. The results thus help explain why, despite the inherent uncertainty that arises when buyers and sellers are separated in time and in space, online marketplaces are proliferating. Implications for theory are discussed, and suggestions for future research on improving IT-enabled trust-building mechanisms are suggested.";EP;Explanation and Prediction
23015899;Does Animation Attract Online Users' Attention? The Effects of Flash on Information Search Performance and Perceptions;Weiyin Hong, James Y. L. Thong and Kar Yan Tam;ISR;2004;https://www.jstor.org/stable/23015899;"The proliferation of information on the Internet poses a significant challenge on humans' limited attentional resources. To attract online users' attention, various kinds of animation are widely used on websites. Despite the ubiquitous use of animation, there is an inadequate understanding of its effect on attention. Focusing on flash animation, this study examines its effects on online users' performance and perceptions in both taskrelevant and task-irrelevant information search contexts by drawing on the visual search literature and two theories from cognitive psychology. In the task-relevant context, flash is applied on the search target; while in the task-irrelevant context, flash is applied on a nontarget item. The results of this study confirm that flash does attract users' attention and facilitates quicker location of the flashed target item in tightly packed screen displays. However, there is no evidence that attracting attention increases recall of the flashed item, as is generally presumed in practice, and may even decrease the overall recall. One explanation is that when users have to use their limited attentional resources on suppressing the distraction of flash, they will have less mental resources to process information. Moreover, the results suggest that processing information about an item depends not only on the attention it attracts per se, but also on the attention that other items on the same screen attract. While flashing an item may not increase the recall of that item, it can reduce the recall of other items (especially the nontarget items) on the screen. Finally, flash has negative effects on users' focused attention and attitude towards using the website. These results have implications for website interface design, online product promotion, online advertising, and multimedia training systems, among others.";EP;Explanation and Prediction
10300016;"A Practice Perspective on Technology-Mediated Network Relations: The Use of Internet-Based Self-Serve Technologies
";Ulrike Schultze, Wanda J. Orlikowski;ISR;2004;https://doi.org/10.1287/isre.1030.0016;"Embedded relationships with customers have been key in generating repeat business and economic advantage, especially in business-to-business settings. Such relationships are typically maintained through interpersonal interactions between customers and their providers. Lately, however, firms have been seeking to make their service operations more scalable by offering customers access to Internet-based, self-serve technology. This raises questions about the implications of inserting self-serve technology into embedded relationships. Recent research on the role of information technology (IT) within interfirm network relations suggests that relationships and the use of IT are complementary. However, most of this research focuses on the organizational level and fails to consider the instantiation of these interfirm relations by the actions and interactions of individual actors (e.g., customers and salespeople) representing their respective firms.

In this paper, we explore the implications of using IT within interfirm relations through an analysis of customers’ and sales representatives’ (reps) work activities and interpersonal relationships. We apply a practice perspective that highlights how macrolevel phenomena such as interfirm relations are created and recreated through the microlevel actions taken by firm members. This analysis reveals that managing the complementarity between relationships and IT in practice is fraught with considerable tension. This study of WebGA, a bricks-and-clicks dotcom, highlights how the use of the self-serve technology made it more difficult for sales reps to build and maintain embedded relationships with their customers. The use of IT altered the nature and quality of information shared by the participants, undermined the ability of sales reps to provide consulting services to customers, reduced the frequency of their interaction, and prompted sales reps to expend social capital to promote customers’ technology adoption. These changes produced intended and unintended shifts in the network relations enacted by WebGA and its customers, and raised serious challenges to the viability of WebGA’s business model.";Explanation;Explanation
23015745;IT Outsourcing Strategies: Universalistic, Contingency, and Configurational Explanations of Success;Jae-Nam Lee, Shaila M. Miranda and Yong-Mi Kim;ISR;2004;https://www.jstor.org/stable/23015745;Focus on individual outsourcing decisions in IT research has often yielded contradictory findings and recommendations. To address these contradictions, we investigate a holistic, configurational approach with the prevailing universalistic or contingency perspectives in exploring the effects of IT outsourcing strategies on outsourcing success. Based on residual rights theory, we begin by identifying three dimensions of IT outsourcing strategies: degree of integration, allocation of control, and performance period. We then develop a model of fit-as-gestalt, drawing from literatures on strategy, governance, interorganizational relationships, and outsourcing. Next, based on data from 311 firms in South Korea, we test universalistic and contingency perspectives in explaining the relationship between IT outsourcing strategies and outsourcing success. We then identify three congruent patterns, or gestalts, of IT outsourcing strategies. We term these strategies independent, arm's-length, and embedded strategies. To establish the predictive validity of these gestalts and the viability of a configurational perspective, we then explore the effects of these congruent gestalts vis-à-vis noncongruent patterns on three dimensions of outsourcing success: strategic competence, cost efficiency, and technology catalysis. We also contrast the effects of each of the three gestalts on each of the three dimensions of outsourcing success. Our findings indicate the superiority of the configurational approach over universalistic and contingency perspectives in explaining outsourcing success.;EP;Explanation and Prediction
23015746;Real Options and IT Platform Adoption: Implications for Theory and Practice;Robert G. Fichman;ISR;2004;https://www.jstor.org/stable/23015746;The decision processes surrounding investments in innovative information technology (IT) platforms are complicated by uncertainty about expected payoffs and irreversibilities in the costs of implementation. When uncertainty and irreversibility are high, concepts from real options should be used to properly structure the evaluation and management of investment opportunities, and thereby capture the value of managerial flexibility. However, while innovation researchers have posited that option value can influence the motivations of early adopters, and options researchers have identified emerging IT as a promising area for application of options valuation techniques, there has yet to be a systematic theoretical integration of work on IT innovation and real options. This paper seeks to fill this gap by developing a model of the determinants of option value associated with investments in innovative IT platforms. In so doing, the model addresses a central question in the innovation field: When should a firm take a lead role in innovation with emerging technologies? The analysis begins with an explanation of real options analysis and how it differs from conventional approaches for evaluating new technologies. Then a set of 12 factors—drawn from 4 complementary perspectives on organizational innovation (technology strategy, organizational learning, innovation bandwagons, and technology adaptation)—is synthesized into a model of the option value of IT platform investments. Rationales are provided to explain the direct effects of these factors on option value, and selected interactions among the factors are also considered. Finally, the implications of the model are presented in three areas: predicting IT platform initiation and adoption, valuing IT platform options, and managing IT platform implementation.;EP;Explanation and Prediction
23015747;An Empirical Analysis of Network Externalities in Peer-to-Peer Music-Sharing Networks;Atip Asvanund, Karen Clay, Ramayya Krishnan and Michael D. Smith;ISR;2004;https://www.jstor.org/stable/23015747;Peer-to-peer (P2P) file sharing networks are an important medium for the distribution of information goods. However, there is little empirical research into the optimal design of these networks under real-world conditions. Early speculation about the behavior of P2P networks has focused on the role that positive network externalities play in improving performance as the network grows. However, negative network externalities also arise in P2P networks because of the consumption of scarce network resources or an increased propensity of users to free ride in larger networks, and the impact of these negative network externalities—while potentially important—has received far less attention. Our research addresses this gap in understanding by measuring the impact of both positive and negative network externalities on the optimal size of P2P networks. Our research uses a unique dataset collected from the six most popular OpenNap P2P networks between December 19, 2000, and April 22, 2001. We find that users contribute additional value to the network at a decreasing rate and impose costs on the network at an increasing rate, while the network increases in size. Our results also suggest that users are less likely to contribute resources to the network as the network size increases. Together, these results suggest that the optimal size of these centralized P2P networks is bounded—At some point the costs that a marginal user imposes on the network will exceed the value they provide to the network. This finding is in contrast to early predictions that larger P2P networks would always provide more value to users than smaller networks. Finally, these results also highlight the importance of considering user incentives—an important determinant of resource sharing in P2P networks—in network design.;EP;Explanation and Prediction
23015748;Impact of Environmental Uncertainty and Task Characteristics on User Satisfaction with Data;Jahangir Karimi, Toni M. Somers and Yash P. Gupta;ISR;2004;https://www.jstor.org/stable/23015748;Today, more than ever before, organizations are faced with the task of processing volumes of information under more uncertain and more competitive environments. This study investigates the impact of environmental uncertainty and task characteristics on user satisfaction with data by using IS and organizational theories. Responses were matched from 77 CEOs and 166 senior managers, who were end users of IS. The partial least squares technique indicated that environmental uncertainty has a positive impact on task characteristics. Task characteristics have a direct and mediating impact on user satisfaction with data. Our findings also demonstrated that user satisfaction with data could be better understood by overlapping IS and organizational theories, rather than by treating the subject matter in disjoint fields. The paper concludes with discussions and implications for researchers and practitioners.;EP;Explanation and Prediction
23015749;Information Overload and the Message Dynamics of Online Interaction Spaces: A Theoretical Model and Empirical Exploration;Quentin Jones, Gilad Ravid and Sheizaf Rafaeli;ISR;2004;https://www.jstor.org/stable/23015749;"Online spaces that enable shared public interpersonal communications are of significant social, organizational, and economic importance. In this paper, a theoretical model and associated unobtrusive method are proposed for researching the relationship between online spaces and the behavior they host. The model focuses on the collective impact that individual information-overload coping strategies have on the dynamics of open, interactive public online group discourse. Empirical research was undertaken to assess the validity of both the method and the model, based on the analysis of over 2.65 million postings to 600 Usenet newsgroups over a 6-month period. Our findings support the assertion that individual strategies for coping with ""information overload"" have an observable impact on large-scale online group discourse. Evidence was found for the hypotheses that: (1) users are more likely to respond to simpler messages in overloaded mass interaction; (2) users are more likely to end active participation as the overloading of mass interaction increases; and (3) users are more likely to generate simpler responses as the overloading of mass interaction grows. The theoretical model outlined offers insight into aspects of computer-mediated communication tool usability, technology design, and provides a road map for future empirical research.";EP;Explanation and Prediction
